city,country,lat,lon
BUENOS AIRES,ARGENTINA,-34.6037,-58.3816
CANBERRA,AUSTRALIA,-25.2809,130.1300
DHAKA,BANGLADESH,23.8103,90.4125
VIENNA,AUSTRIA,48.2082,16.3738
BRUSSELS,BELGIUM,50.8503,4.3517
RIO DE JANEIRO,BRAZIL,-22.9068,-43.1729
EDMONTON,CANADA,53.5444,-113.4909
SANTIAGO,CHILE,-33.4489,-70.6693
BEIJING,CHINA,39.9042,116.4074
BOGOTA,COLOMBIA,4.7110,-74.0721
HAVANA,CUBA,23.1136,-82.3666
CAIRO,EGYPT,30.0444,31.2357
PARIS,FRANCE,48.8566,2.3522
BERLIN,GERMANY,52.5200,13.4050
HONG KONG,HONG KONG,22.3964,114.1095
DELHI,INDIA,28.7041,77.1025
JAKARTA,INDONESIA,-6.1745,106.8227
TEL AVIV,ISRAEL,32.0853,34.7818
ROME,ITALY,41.9028,12.4964
TOKYO,JAPAN,35.6895,139.6917
ASTANA,KAZAKHSTAN,51.1605,71.4704
BEIRUT,LEBANON,33.8938,35.5018
MEXICO CITY,MEXICO,19.4326,-99.1332
WINDHOEK,NAMIBIA,-22.5609,17.0658
MANILA,PHILIPPINES,14.5995,120.9842
DOHA,QATAR,25.2854,51.5310
DAKAR,SENEGAL,14.7645,-17.3660
SINGAPORE,SINGAPORE,1.3521,103.8198
CAPE TOWN,SOUTH AFRICA,-33.9249,18.4241
SEOUL,SOUTH KOREA,37.5665,126.9780
BERN,SWITZERLAND,46.9480,7.4474
TAIPEI,TAIWAN,25.0330,121.5654
ANKARA,TURKEY,39.9334,32.8597
ABU DHABI,UAE,24.4539,54.3773
LONDON,UK,51.5074,-0.1278
DENVER,US,39.7392,-104.9903
